"budget","id","original_language","original_title","overview","popularity","release_date","revenue","runtime","status","title","vote_average","vote_count"
"0","49133","it","Lamerica","Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.","1.361286","1/1/1994","0","116","Released","Lamerica","7.7","11"
"0","26441","en","The Big Green","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","5.982764","9/29/1995","0","100","Released","The Big Green","5.2","41"
"0","97406","en","Georgia","Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.","4.093443","5/19/1995","0","115","Released","Georgia","6.1","15"
"0","124057","en","Kids of the Round Table","Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.","0.307075","7/8/1997","0","89","Released","Kids of the Round Table","3","1"
"0","9089","en","Home for the Holidays","After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","8.416802","11/2/1995","17519169","103","Released","Home for the Holidays","6.3","39"
"0","11010","it","Il postino","Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.","10.168437","9/22/1994","0","108","Released","The Postman","7.6","181"
"0","99040","fr","Le confessionnal","The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.","0.120789","9/29/1995","0","100","Released","The Confessional","6.5","2"
"45000000","11359","en","The Indian in the Cupboard","A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.","10.673296","7/14/1995","0","96","Released","The Indian in the Cupboard","5.9","136"
"20000000","17182","en","Eye for an Eye","It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","4.733526","1/12/1996","0","101","Released","Eye for an Eye","5.8","65"
"0","2054","en","Mr. Holland's Opus","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","7.137117","12/29/1995","106269971","137","Released","Mr. Holland's Opus","6.9","115"
"0","10607","en","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?","11.700115","1/12/1996","0","89","Released","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","6.2","192"
"0","19760","en","Two If by Sea","Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","2.174487","1/12/1996","0","96","Released","Two If by Sea","4.5","14"
"15000000","9536","en","Bio-Dome","Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.","6.387469","1/12/1996","0","88","Released","Bio-Dome","4.4","110"
"0","11525","en","Lawnmower Man 2: Beyond Cyberspace","Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","2.49535","1/12/1996","2409225","92","Released","Lawnmower Man 2: Beyond Cyberspace","2.8","32"
"0","40628","en","Two Bits","It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.","4.046208","10/22/1995","0","85","Released","Two Bits","5.4","11"
"0","4482","fr","Gazon maudit","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","2.518051","2/8/1995","0","95","Released","French Twist","6","43"
"3500000","10634","en","Friday","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","14.56965","4/26/1995","28215918","91","Released","Friday","7","513"
"19000000","755","en","From Dusk Till Dawn","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","15.339153","1/19/1996","25836616","108","Released","From Dusk Till Dawn","6.9","1644"
"50000000","11859","en","Fair Game","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her","5.912223","11/3/1995","11534477","91","Released","Fair Game","4.1","54"
"0","28387","en","Kicking and Screaming","After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.","3.367276","10/6/1995","718490","96","Released","Kicking and Screaming","7","36"
"0","48750","fr","Les misÃ©rables","In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les MisÃ©rables and begins to see parallels between the book and his own life.","1.479446","3/22/1995","0","175","Released","Les Miserables","6.6","8"
"0","20927","en","Bed of Roses","The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.","10.412194","1/26/1996","19030691","87","Released","Bed of Roses","5.1","27"
"15000000","36929","en","Big Bully","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.","2.936443","1/26/1996","2042530","90","Released","Big Bully","3.9","16"
"20000000","9102","en","Screamers","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.","12.758848","9/8/1995","5781885","108","Released","Screamers","6.1","154"
"0","124626","en","Nico Icon","A look into the many lives of Christa PÃ¤ffgen, otherwise known as Nico; from cutie German mÃ¤dchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.","0.133893","2/18/1995","0","70","Released","Nico Icon","7.3","3"
"0","27526","en","The Crossing Guard","After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.","5.756462","11/15/1995","0","111","Released","The Crossing Guard","6.1","74"
"44000000","9623","en","The Juror","With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.","6.010579","2/2/1996","0","118","Released","The Juror","5.5","91"
"0","46785","fa","Ø¨Ø§Ø¯Ú©Ù†Ú© Ø³ÙÛŒØ¯","Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.","1.196256","1/1/1995","0","85","Released","The White Balloon","7.5","20"
"8000000","400","en","Things to Do in Denver When You're Dead","A mafia film in Tarantino style with a star-studded cast. Jimmyâ€™s â€œThe Saintâ€ gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as â€œThe Man with the Plan.â€","4.486179","12/1/1995","529766","116","Released","Things to Do in Denver When You're Dead","6.7","87"
"900000","880","nl","Antonia","After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.","2.030174","9/12/1995","0","102","Released","Antonia's Line","7.2","26"
"0","146599","en","Once Upon a Time... When We Were Colored","This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.","0.252287","1/26/1996","0","115","Released","Once Upon a Time... When We Were Colored","4.5","2"
"0","188588","en","Last Summer in the Hamptons","Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.","0.531159","11/22/1995","0","108","Released","Last Summer in the Hamptons","0","0"
"0","8447","en","Angels and Insects","In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.","2.15166","9/10/1995","0","118","Released","Angels and Insects","6.3","17"
"38000000","10534","en","White Squall","Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.","9.568604","2/2/1996","10300000","129","Released","White Squall","6.3","86"
