budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,rating
0,9909,en,9.481338,11-08-1995,180000000,99,Released,Dangerous Minds,6.4,249,4
29500000,63,en,12.297305,29-12-1995,168840000,129,Released,Twelve Monkeys,7.4,2470,3
0,78802,fr,0.745542,18-09-1996,0,50,Released,Wings of Courage,6.8,4,3
30000000,9598,en,14.404764,18-07-1995,254134910,89,Released,Babe,6,756,3
0,47018,en,1.493361,08-11-1995,0,121,Released,Carrington,6.4,16,3
11000000,687,en,6.891317,29-12-1995,39363635,122,Released,Dead Man Walking,7.3,350,3
0,139405,en,0.114469,20-10-1995,0,51,Released,Across the Sea of Time,3.5,2,3
0,33689,en,7.777735,17-11-1995,0,101,Released,It Takes Two,6.1,149,5
12000000,9603,en,9.882383,19-07-1995,0,97,Released,Clueless,6.9,828,1
0,34615,en,0.894647,15-12-1995,676525,106,Released,"Cry, the Beloved Country",6.7,13,3
0,31174,en,4.561387,29-12-1995,0,104,Released,Richard III,6.9,50,3
10000000,11443,en,9.87957,06-10-1995,0,119,Released,Dead Presidents,6.6,80,3
19000000,35196,en,10.979269,29-12-1995,0,117,Released,Restoration,6.3,30,4
18000000,9312,en,10.870138,18-08-1995,122195920,101,Released,Mortal Kombat,5.4,452,4
20000000,577,en,10.448481,20-05-1995,21284514,106,Released,To Die For,6.7,177,5
10000000,11861,en,4.485958,06-10-1995,23574130,116,Released,How To Make An American Quilt,6.5,38,5
33000000,807,en,18.45743,22-09-1995,327311859,127,Released,Se7en,8.1,5915,3
55000000,10530,en,13.280069,14-06-1995,346079773,81,Released,Pocahontas,6.7,1509,4
0,8391,en,3.302524,05-05-1995,0,96,Released,When Night Is Falling,5.9,10,3
6000000,629,en,16.302466,19-07-1995,23341568,106,Released,The Usual Suspects,8.1,3334,4
0,117164,en,0.595949,22-11-1994,0,93,Released,Guardian Angel,6.3,3,3
15000000,11448,en,15.899134,13-09-1995,6700000,95,Released,Mighty Aphrodite,6.7,145,4
0,49133,it,1.361286,01-01-1994,0,116,Released,Lamerica,7.7,11,2
0,26441,en,5.982764,29-09-1995,0,100,Released,The Big Green,5.2,41,1
0,97406,en,4.093443,19-05-1995,0,115,Released,Georgia,6.1,15,3
0,124057,en,0.307075,08-07-1997,0,89,Released,Kids of the Round Table,3,1,4
0,9089,en,8.416802,02-11-1995,17519169,103,Released,Home for the Holidays,6.3,39,4
0,11010,it,10.168437,22-09-1994,0,108,Released,The Postman,7.6,181,3
0,99040,fr,0.120789,29-09-1995,0,100,Released,The Confessional,6.5,2,3
45000000,11359,en,10.673296,14-07-1995,0,96,Released,The Indian in the Cupboard,5.9,136,3
20000000,17182,en,4.733526,12-01-1996,0,101,Released,Eye for an Eye,5.8,65,3
0,2054,en,7.137117,29-12-1995,106269971,137,Released,Mr. Holland's Opus,6.9,115,2
0,10607,en,11.700115,12-01-1996,0,89,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,3
0,19760,en,2.174487,12-01-1996,0,96,Released,Two If by Sea,4.5,14,3
15000000,9536,en,6.387469,12-01-1996,0,88,Released,Bio-Dome,4.4,110,3
0,11525,en,2.49535,12-01-1996,2409225,92,Released,Lawnmower Man 2: Beyond Cyberspace,2.8,32,3
0,40628,en,4.046208,22-10-1995,0,85,Released,Two Bits,5.4,11,2
0,4482,fr,2.518051,08-02-1995,0,95,Released,French Twist,6,43,3
3500000,10634,en,14.56965,26-04-1995,28215918,91,Released,Friday,7,513,4
19000000,755,en,15.339153,19-01-1996,25836616,108,Released,From Dusk Till Dawn,6.9,1644,3
50000000,11859,en,5.912223,03-11-1995,11534477,91,Released,Fair Game,4.1,54,4
0,28387,en,3.367276,06-10-1995,718490,96,Released,Kicking and Screaming,7,36,2
0,48750,fr,1.479446,22-03-1995,0,175,Released,Les Miserables,6.6,8,4
0,20927,en,10.412194,26-01-1996,19030691,87,Released,Bed of Roses,5.1,27,3
15000000,36929,en,2.936443,26-01-1996,2042530,90,Released,Big Bully,3.9,16,3
20000000,9102,en,12.758848,08-09-1995,5781885,108,Released,Screamers,6.1,154,4
0,124626,en,0.133893,18-02-1995,0,70,Released,Nico Icon,7.3,3,4
0,27526,en,5.756462,15-11-1995,0,111,Released,The Crossing Guard,6.1,74,4
44000000,9623,en,6.010579,02-02-1996,0,118,Released,The Juror,5.5,91,4
0,46785,fa,1.196256,01-01-1995,0,85,Released,The White Balloon,7.5,20,4
8000000,400,en,4.486179,01-12-1995,529766,116,Released,Things to Do in Denver When You're Dead,6.7,87,4
900000,880,nl,2.030174,12-09-1995,0,102,Released,Antonia's Line,7.2,26,3
0,146599,en,0.252287,26-01-1996,0,115,Released,Once Upon a Time... When We Were Colored,4.5,2,3
0,188588,en,0.531159,22-11-1995,0,108,Released,Last Summer in the Hamptons,0,0,5
0,8447,en,2.15166,10-09-1995,0,118,Released,Angels and Insects,6.3,17,3
38000000,10534,en,9.568604,02-02-1996,10300000,129,Released,White Squall,6.3,86,5
16000000,17414,en,4.814825,12-01-1996,0,88,Released,Dunston Checks In,5.1,59,3
0,13997,en,8.963037,01-02-1996,32,87,Released,Black Sheep,6,124,3
8169363,2086,en,6.848591,22-11-1995,8175346,90,Released,Nick of Time,6.1,190,3
0,61548,en,0.411424,14-09-1995,0,91,Released,The Journey of August King,6.7,3,5
47000000,9095,en,12.866139,23-02-1996,12379402,104,Released,Mary Reilly,5.7,77,5
14000000,12158,en,9.071127,26-10-1995,19800000,100,Released,Vampire in Brooklyn,4.5,113,5
0,9283,en,4.670562,09-02-1996,0,112,Released,Beautiful Girls,6.6,103,3
50000000,9208,en,14.957626,09-02-1996,150270147,108,Released,Broken Arrow,5.7,459,3
0,40154,en,0.513391,01-12-1995,0,99,Released,A Midwinter's Tale,7.5,6,4
3000000,406,fr,12.108196,31-05-1995,0,98,Released,La Haine,7.9,695,4
0,45549,en,2.657647,06-12-1994,0,105,Released,Shopping,5.6,13,3
0,63076,en,0.638211,27-12-1995,0,106,Released,Heidi Fleiss: Hollywood Madam,6.8,4,4
0,11062,en,4.807223,16-02-1996,0,111,Released,City Hall,6,67,3.5
7000000,13685,en,6.904831,21-02-1996,560069,91,Released,Bottle Rocket,6.8,285,3
0,47475,en,3.329264,16-02-1996,0,96,Released,Mr. Wrong,3.3,16,4.5
18000000,2045,en,2.464425,23-02-1996,0,106,Released,Unforgettable,5.3,22,5
12000000,9614,en,9.592265,16-02-1996,41205099,92,Released,Happy Gilmore,6.5,767,2.5
24000000,688,en,5.951077,28-05-1995,182016617,135,Released,The Bridges of Madison County,7.3,397,5
0,11907,de,1.015068,07-11-1994,0,104,Released,Nobody Loves Me,5.1,5,2.5
0,10874,en,6.902423,16-02-1996,34327391,100,Released,Muppet Treasure Island,6.5,93,3
0,89333,en,0.976707,08-12-1995,0,95,Released,Catwalk,7,2,3
0,96357,en,0.001346,20-05-1995,0,110,Released,Headless Body in Topless Bar,0,0,3
72000000,197,en,20.755149,24-05-1995,210000000,177,Released,Braveheart,7.7,3404,3
1300000,103,en,14.092713,07-02-1976,28262574,114,Released,Taxi Driver,8.1,2632,2
7500000,33542,cn,12.314278,30-01-1995,32392047,91,Released,Rumble in the Bronx,6.5,245,3.5
35000000,43566,en,2.938293,23-02-1996,0,108,Released,Before and After,5.8,37,4
0,71754,en,0.372697,13-09-1995,0,114,Released,Margaret's Museum,7.5,2,3
13365000,43612,en,1.254885,31-01-1995,0,106,Released,Happiness Is in the Field,7,23,5
0,51352,en,0.243986,08-06-1995,1,117,Released,Anne Frank Remembered,7.3,4,3
0,16934,en,6.178497,20-01-1995,0,99,Released,The Young Poisoner's Handbook,6.9,19,4
0,10324,en,2.891918,08-03-1996,0,92,Released,If Lucy Fell,5.4,11,3
25000000,78406,en,1.522412,29-09-1995,6278139,113,Released,Steal Big Steal Little,5.1,7,4
0,55731,en,1.317878,22-03-1996,0,100,Released,Race the Sun,5.2,21,3.5
0,32119,en,0.86539,06-12-1992,0,90,Released,The Boys of St. Vincent,7,7,4.5
40000000,11066,en,6.506983,30-06-1992,70100000,117,Released,Boomerang,5.4,139,4
0,11104,cn,6.778979,14-07-1994,0,102,Released,Chungking Express,7.9,249,4
0,37975,it,1.702639,21-09-1995,0,113,Released,The Star Maker,6.8,29,4
7000000,2074,en,5.579088,22-03-1996,14702438,92,Released,Flirting with Disaster,6.3,66,3
17000000,27793,en,6.252377,26-10-1994,0,95,Released,The Neverending Story III: Escape from Fantasia,4.4,105,3
0,44284,ar,0.406754,30-09-1994,0,116,Released,The Silences of the Palace,4.3,3,3.5
0,290157,en,0.001178,01-01-1995,0,87,Released,Jupiter's Wife,0,0,3
0,110972,en,0.699066,09-02-1996,0,95,Released,Pie in the Sky,7,2,3.5
0,32622,en,2.197439,01-01-1995,0,99,Released,Angela,5.6,9,4
0,73067,it,0.637554,22-11-1995,0,101,Released,Frankie Starlight,5.4,4,4
50000000,11863,en,11.418917,13-10-1995,9851610,95,Released,Jade,5.1,45,5
0,55475,es,0.291021,16-08-1995,0,102,Released,Nueba Yol,5.5,1,3
0,124636,en,0.001838,01-08-1995,0,87,Released,Sonic Outlaws,0,0,4
0,9101,en,5.184977,01-03-1996,0,92,Released,Down Periscope,5.6,110,5
0,123360,en,0.276401,08-09-1995,0,97,Released,From the Journals of Jean Seberg,6.5,2,3
0,5757,en,0.540436,15-09-1995,209935,86,Released,Man of the Year,3.8,2,3.5
0,39428,en,0.370342,23-08-1995,0,91,Released,The Neon Bible,7.2,5,3
0,124639,en,0.001205,01-08-1995,0,122,Released,Target,0,0,2.5
60000000,9302,en,3.402749,01-03-1996,0,119,Released,Up Close & Personal,5.9,51,3
31000000,11000,en,6.49968,08-03-1996,185260553,117,Released,The Birdcage,6.7,303,3.5
0,249882,en,0.918504,12-10-1995,0,125,Released,Virgin Mary,7,2,3
0,16388,en,2.039196,09-08-1995,0,98,Released,The Brothers McMullen,6.3,23,3.5
19000000,9737,en,9.262184,07-04-1995,141407024,118,Released,Bad Boys,6.5,1729,3.5
0,30765,en,2.375865,25-08-1995,0,81,Released,The Amazing Panda Adventure,5,31,4.5
0,10474,en,7.415144,21-04-1995,0,102,Released,The Basketball Diaries,7.2,472,4.5
4000000,22279,en,0.922958,21-07-1995,851545,113,Released,An Awfully Big Adventure,6,11,3
0,30157,en,1.759012,05-08-1994,0,105,Released,Amateur,6.5,21,4
52000000,568,en,18.761467,30-06-1995,355237933,140,Released,Apollo 13,7.3,1637,4
28000000,11780,en,10.193549,13-04-1995,31596911,139,Released,Rob Roy,6.5,151,5
0,34996,en,3.137285,10-01-1995,0,82,Released,The Addiction,6.4,46,5
100000000,414,en,13.321354,16-06-1995,336529144,121,Released,Batman Forever,5.2,1529,5
0,649,fr,10.142662,24-05-1967,0,101,Released,Belle de Jour,7.3,163,4
0,1873,en,2.04189,24-05-1995,0,100,Released,Beyond Rangoon,6.4,21,3
2000000,5894,en,11.528147,15-09-1995,1275000,83,Released,Blue in the Face,6.8,28,3
11000000,1775,en,5.391556,08-06-1995,178104,91,Released,Canadian Bacon,5.9,57,5
50000000,8839,en,12.812539,26-05-1995,287928194,100,Released,Casper,6,1045,4
25000000,20649,en,4.558992,15-09-1995,13071518,128,Released,Clockers,6.8,69,5
50000000,10329,en,7.260574,09-06-1995,152022101,109,Released,Congo,5,214,3
53000000,8963,en,8.657365,12-05-1995,157387195,116,Released,Crimson Tide,7,508,5
0,26564,en,3.620388,10-09-1994,3174695,119,Released,Crumb,7.6,71,5
7000000,8068,en,6.950458,25-08-1995,25405445,104,Released,Desperado,6.8,898,5
27000000,8512,en,4.646132,15-09-1995,16140822,102,Released,Devil in a Blue Dress,6.3,88,5
90000000,1572,en,15.138855,19-05-1995,366101666,128,Released,Die Hard: With a Vengeance,6.9,2094,4
0,13552,en,7.120806,27-10-1995,0,80,Released,The Doom Generation,5.6,57,3
0,259209,en,0.523575,12-10-1995,0,116,Released,Feast of July,0,0,3
55000000,6520,en,15.178338,07-07-1995,127600435,134,Released,First Knight,5.9,319,3
0,9073,en,7.575098,19-07-1995,0,95,Released,Free Willy 2 - The Adventure Home,5.5,130,4
20000000,10428,en,14.810519,14-09-1995,7563728,107,Released,Hackers,6.2,406,1
0,17447,en,3.196456,18-08-1995,0,92,Released,Jeffrey,6.5,19,4
25000000,9886,en,11.715868,26-05-1995,19075720,97,Released,Johnny Mnemonic,5.5,380,4
90000000,9482,en,8.184815,30-06-1995,113493481,96,Released,Judge Dredd,5.4,643,4
0,19326,en,3.676921,12-04-1995,17014653,88,Released,Jury Duty,4,34,5
1500000,9344,en,4.877872,28-07-1995,7412216,91,Released,Kids,6.8,280,5
500000,9071,en,10.058329,20-01-1995,1148752,89,Released,Living in Oblivion,7.2,64,5
0,8973,en,4.102409,25-08-1995,0,119,Released,Lord of Illusions,5.9,87,5
0,15730,en,0.354014,20-05-1993,0,100,Released,Love & Human Remains,7,7,3
0,47608,en,2.624771,26-05-1995,15453274,95,Released,Mad Love,5.5,27,5
6000000,2293,en,8.25547,20-10-1995,2122561,94,Released,Mallrats,6.8,400,5
15000000,9070,en,7.024227,30-06-1995,66000000,92,Released,Mighty Morphin Power Rangers: The Movie,5.2,153,4
0,68274,en,1.01115,29-09-1995,0,100,Released,Moonlight and Valentino,5.6,10,5
2,48787,en,2.466066,28-09-1995,1,95,Released,Mute Witness,6.4,36,5
0,34574,en,7.720056,13-09-1994,0,93,Released,Nadja,5.9,12,5
22000000,1642,en,13.304342,28-07-1995,110627965,114,Released,The Net,5.6,359,4
0,11472,en,8.482834,12-07-1995,69660733,103,Released,Nine Months,5.5,171,5
150000,36196,en,1.165039,09-06-1995,472370,94,Released,Party Girl,5.8,14,5
8,11980,en,10.187623,01-09-1995,16,98,Released,The Prophecy,6.4,139,4
0,58372,en,0.119713,17-11-1995,0,91,Released,Reckless,10,1,4
0,32646,en,8.180047,23-06-1995,0,119,Released,Safe,7.2,62,5
50000000,10533,en,6.752119,13-10-1995,10382407,135,Released,The Scarlet Letter,5.5,111,5
0,56088,en,0.159596,25-08-1995,0,93,,The Show,5.3,2,5
45000000,10802,en,17.502375,22-09-1995,20350754,128,Released,Showgirls,4.9,261,5
7000000,10149,en,5.552946,09-06-1995,8349430,112,Released,Smoke,7.2,115,5
0,18402,en,3.743212,04-08-1995,50892160,106,Released,Something to Talk About,5.7,60,5
35000000,9348,en,13.492845,07-07-1995,113374103,108,Released,Species,5.5,457,5
0,139408,en,0.913522,15-09-1995,0,109,Released,The Stars Fell on Henrietta,6.6,6,5
42000000,281,en,11.223055,13-10-1995,7959291,145,Released,Strange Days,6.8,334,5
0,5967,fr,8.133881,19-02-1964,0,91,Released,The Umbrellas of Cherbourg,7.6,119,5
14000000,79593,en,1.820419,08-09-1995,5780000,99,Released,The Tie That Binds,4.6,9,5
0,47939,en,11.002046,27-10-1995,7025496,115,Released,Three Wishes,6.1,18,5
0,36834,en,4.546552,02-11-1995,339889,111,Released,Total Eclipse,6.5,112,5
0,9090,en,7.653446,07-09-1995,47774193,105,Released,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117,5
60000000,3512,en,7.490247,13-07-1995,104324083,100,Released,Under Siege 2: Dark Territory,5.6,217,5
0,52856,en,2.881689,15-09-1995,0,93,Released,Unstrung Heroes,6.4,9,5
0,77350,en,0.786023,11-08-1995,0,73,Released,Unzipped,6,6,5
20000000,9560,en,9.715639,11-08-1995,50012507,103,Released,A Walk in the Clouds,6.5,168,5
175000000,9804,en,16.885184,28-07-1995,264218220,135,Released,Waterworld,5.9,1017,5
8000000,31611,en,1.834099,01-12-1995,0,89,Released,White Man's Burden,5.1,25,5
30000000,65796,en,8.922139,01-12-1995,0,98,Released,Wild Bill,5.9,27,5
0,49805,en,3.727644,12-10-1994,0,97,Released,The Browning Version,6,11,5
0,26258,en,3.287036,04-08-1995,0,90,Released,Bushwhacked,4.9,29,5
2800000,50797,ru,2.486073,01-05-1994,2616503,135,Released,Burnt by the Sun,6.7,35,5
0,19155,en,3.525649,09-06-1994,763847,113,Released,Before the Rain,7.7,45,5
2500000,76,en,11.304979,27-01-1995,5535405,105,Released,Before Sunrise,7.7,984,5
10000000,11017,en,6.638116,10-02-1995,26488734,89,Released,Billy Madison,6.2,464,5
0,37141,en,2.761837,17-10-1995,0,90,Released,The Babysitter,4.7,27,5
21000000,9382,en,3.030309,03-02-1995,23450000,115,Released,Boys on the Side,6.3,48,5
0,6715,en,2.686342,21-04-1995,0,97,Released,The Cure,7.2,58,5
0,18256,en,2.26977,04-08-1995,0,95,Released,Castle Freak,5.8,40,5
0,22625,en,2.605521,16-03-1995,0,103,Released,Circle of Friends,6.5,30,5
27000,2292,en,10.513367,13-09-1994,3151130,92,Released,Clerks,7.4,769,5
25000000,1909,en,7.438934,01-10-1994,22200000,97,Released,Don Juan DeMarco,6.3,184,4
55000000,8984,en,11.812244,09-12-1994,214015089,123,Released,Disclosure,5.9,217,5
0,61813,en,0.155859,01-01-1995,0,0,Released,Dream Man,2.5,1,5
45000000,4954,en,9.579155,08-12-1994,0,101,Released,Drop Zone,5.1,91,5
0,62488,it,0.710671,28-04-1995,0,0,Released,Destiny Turns on the Radio,5.3,9,5
0,10531,en,5.484156,04-05-1994,0,103,Released,Death and the Maiden,7.1,92,4
0,11929,en,5.8025,24-03-1995,0,132,Released,Dolores Claiborne,7.1,183,5
16000000,8467,en,9.844558,16-12-1994,247275374,107,Released,Dumb and Dumber,6.5,1894,5
0,10451,zh,4.860016,03-08-1994,7294403,123,Released,Eat Drink Man Woman,7.5,76,4
0,20156,en,5.378467,24-09-1994,0,103,Released,Exotica,6.5,64,4
0,18395,en,4.322726,14-10-1994,6841570,113,Released,Exit to Eden,4.3,28,4
18000000,522,en,11.720358,27-09-1994,5887457,127,Released,Ed Wood,7.3,639,5
0,397,en,9.146544,05-05-1995,0,111,Released,French Kiss,6.2,179,5
0,10525,en,16.236745,19-05-1995,0,101,Released,Forget Paris,6.1,38,4
0,27985,en,2.657337,13-01-1995,0,87,Released,Far from Home: The Adventures of Yellow Dog,5.6,27,4
0,15789,en,10.177977,07-04-1995,35348597,78,Released,A Goofy Movie,6.7,404,3
15000000,27303,en,8.182165,03-03-1995,12201255,103,Released,Hideaway,5,24,4
0,21183,en,4.953936,02-06-1995,0,96,Released,Fluke,6.6,48,3
0,10954,fr,8.935058,07-12-1994,0,111,Released,Farinelli,5.9,20,3
0,47867,en,0.398924,12-05-1995,3992809,90,Released,Gordy,3,4,5
0,43475,en,0.090452,01-12-1995,0,77,Released,Gumby: The Movie,5,2,5
0,72031,en,1.012197,16-09-1994,0,109,Released,The Glass Shield,5.4,9,4
700000,14275,en,9.47666,12-09-1994,7830611,171,Released,Hoop Dreams,7.7,91,5
5000000,1024,en,9.438042,02-09-1994,3049135,99,Released,Heavenly Creatures,6.9,299,3
10500000,17207,en,2.688562,06-01-1995,26325256,113,Released,Houseguest,6,17,5
120,13701,en,7.983666,16-12-1994,0,121,Released,Immortal Beloved,6.9,90,4
0,14819,en,9.546707,17-02-1995,17689177,100,Released,Heavyweights,6,97,5
0,32631,en,2.756986,24-02-1995,0,106,Released,The Hunted,6,25,1
25000000,11777,en,5.146352,24-12-1994,0,100,Released,I.Q.,5.9,112,5
60000000,628,en,11.970205,11-11-1994,223664608,123,Released,Interview with the Vampire,7.2,1558,4
14000000,87729,en,1.596058,31-03-1995,2474000,139,Released,Jefferson in Paris,5.2,10,2
0,18713,en,0.748846,03-02-1995,0,82,Released,The Jerky Boys,4.8,10,5
60000000,6280,en,6.710215,22-11-1994,37000000,109,Released,Junior,4.7,381,5
0,9061,en,9.195256,17-02-1995,0,102,Released,Just Cause,6,124,5
0,37108,en,5.874511,11-08-1995,0,89,Released,A Kid in King Arthur's Court,4.3,40,3
40000000,6071,en,7.797512,21-04-1995,0,101,Released,Kiss of Death,5.7,83,5
11000000,11,en,42.149697,25-05-1977,775398007,121,Released,Star Wars,8.1,6778,5
18000000,9587,en,9.774994,21-12-1994,0,115,Released,Little Women,7,222,5
17000000,19101,en,7.731725,10-05-1995,0,97,Released,A Little Princess,7.4,207,3
0,49980,en,0.84508,18-02-1994,0,101,Released,Ladybird Ladybird,7.4,14,2
10000000,17961,fr,1.948315,16-02-1994,0,100,Released,L'Enfer,6.6,22,5
2000000,18183,es,4.126083,16-04-1992,21665468,105,Released,Like Water for Chocolate,6.6,70,4
30000000,4476,en,12.199047,16-12-1994,160638883,133,Released,Legends of the Fall,7.2,636,5
0,11008,en,9.253362,24-03-1995,0,95,Released,Major Payne,6.1,164,4
0,47504,en,1.861292,27-10-1994,0,98,Released,Little Odessa,6.4,31,4
0,32325,en,1.788829,08-06-1994,0,92,Released,Mi Vida Loca,5.7,9,4
60000000,43742,en,3.290192,21-10-1994,0,108,Released,Love Affair,4.3,11,4
17000000,28313,en,7.698526,17-03-1995,7603766,106,Released,Losing Isaiah,6.4,28,5
0,11318,en,4.81307,28-12-1994,0,107,Released,The Madness of King George,6.7,67,3
45000000,3036,en,14.287753,04-11-1994,112006296,123,Released,Mary Shelley's Frankenstein,6.1,272,5
0,40490,en,2.558118,03-03-1995,0,96,Released,Man of the House,5.1,40,5
15000000,24070,en,2.899608,21-12-1994,0,97,Released,Mixed Nuts,5.2,37,5
0,8986,en,3.770115,31-08-1994,18137661,108,Released,Milk Money,5.6,49,4
0,10510,en,5.831622,18-11-1994,46264384,114,Released,Miracle on 34th Street,6.4,199,5
6,17402,en,1.137266,27-01-1995,5,95,Released,Miami Rhapsody,5.6,7,5
5500000,38722,en,3.121288,03-05-1995,0,128,Released,My Family,7,11,5
0,8438,en,9.518564,20-01-1995,17381942,122,Released,Murder in the First,6.9,140,5
0,11593,en,2.891269,23-12-1994,0,110,Released,Nobody's Fool,7,56,4
31000000,1945,en,5.930957,23-12-1994,106683817,112,Released,Nell,6.1,128,5
0,39310,en,0.629955,19-04-1995,0,98,Released,New Jersey Drive,6.9,7,5
0,109560,en,0.004537,14-08-1993,0,93,Released,New York Cop,0,0,5
4800000,56428,en,0.426952,22-04-1994,0,89,Released,Beyond Bedlam,4,4,4
0,63105,en,1.466491,26-09-1995,0,83,Released,Nemesis 2 - Nebula,4.6,10,5
0,131957,en,0.769522,03-03-1995,0,100,Released,Nina Takes a Lover,7.4,4,3
34000000,241,en,11.226856,25-08-1994,50282766,119,Released,Natural Born Killers,6.9,927,5
0,9058,en,4.936761,17-09-1994,0,115,Released,Only You,6.4,92,5
0,527,en,4.025276,02-09-1994,2201126,99,Released,Once Were Warriors,7.6,106,4
0,18220,en,6.448039,16-01-1996,0,106,Released,Poison Ivy II: Lily,4.6,32,5
50000000,6950,en,13.676444,10-03-1995,189859560,127,Released,Outbreak,6.4,522,4
16000000,101,fr,20.477329,14-09-1994,45284974,110,Released,Leon: The Professional,8.2,4293,4
11000000,63020,en,1.433544,12-05-1995,2832826,113,Released,The Perez Family,6.6,9,5
0,2307,en,0.463307,28-04-1995,0,94,Released,A Pyromaniac's Love Story,7,2,5
8000000,680,en,140.950236,10-09-1994,213928762,154,Released,Pulp Fiction,8.3,8670,5
0,41478,en,7.160149,10-11-1995,6834525,124,Released,Panther,6.4,6,3
400000,25296,zh,1.638622,01-02-1992,152322,105,Released,Pushing Hands,6.1,9,5
0,40156,en,1.881932,01-01-1994,4176932,98,Released,Priest,6.4,32,4
0,11450,en,7.772505,16-09-1994,0,133,Released,Quiz Show,7.1,262,3
0,30304,en,1.296912,05-05-1995,0,94,Released,Picture Bride,7.4,5,5
0,10452,fr,4.405405,13-05-1994,0,162,Released,Queen Margot,7,67,5
32000000,12106,en,7.54701,09-02-1995,18552460,107,Released,The Quick and the Dead,6.2,431,4
22000000,161495,sv,3.395867,01-03-1995,12400000,108,Released,Roommates,6.4,7,4
15000000,3586,en,6.259433,23-12-1994,11300653,133,Released,Prêt-à-Porter,5.3,33,4
0,110,fr,7.832755,27-05-1994,0,99,Released,Three Colors: Red,7.8,246,5
0,108,fr,8.843517,10-01-1993,0,98,Released,Three Colors: Blue,7.7,311,4
0,109,fr,6.5898,26-01-1994,0,91,Released,Three Colors: White,7.3,218,5
0,159185,zh,0.078257,14-10-1994,0,111,Released,"Red Firecracker, Green Firecracker",7,2,5
0,36357,en,1.155255,01-01-1995,0,85,Released,Rent-a-Kid,5.1,15,4
0,92769,en,0.499601,03-10-1995,0,90,Released,Relative Fear,4.7,3,1
0,28033,en,1.390885,12-04-1995,0,95,Released,Stuart Saves His Family,5,6,5
35000000,22586,en,8.910462,18-11-1994,9771658,89,Released,The Swan Princess,6.5,251,5
0,14334,en,1.750481,01-01-1994,0,97,Released,The Secret of Roan Inish,6.1,15,3
45000000,2636,en,10.388183,07-10-1994,170362582,110,Released,The Specialist,5.5,317,4
55000000,2164,en,13.328924,27-10-1994,196567262,121,Released,Stargate,6.8,942,4
22000000,11395,en,9.665424,10-11-1994,189833357,97,Released,The Santa Clause,6.3,501,5
25000000,278,en,51.645403,23-09-1994,28341469,142,Released,The Shawshank Redemption,8.5,8358,5
